DATE,POILBREUSDM
1999-01-01,17.6991666666666667
2000-01-01,28.3075000000000000
2001-01-01,24.4116666666666667
2002-01-01,24.9983333333333333
2003-01-01,28.8448886614593083
2004-01-01,38.2809401938641083
2005-01-01,54.4334828251458667
2006-01-01,65.3762893374741250
2007-01-01,72.7311584164627667
2008-01-01,97.5692506509190333
2009-01-01,61.8645752164502083
2010-01-01,79.6347504705439417
2011-01-01,111.0824720810589917
2012-01-01,111.9595915286403833
2013-01-01,108.8440046427004167
2014-01-01,98.9433734079929833
2015-01-01,52.3994184312064833
2016-01-01,44.0475238408934000
2017-01-01,54.4009093418658667
2018-01-01,71.0711903350272833
